Land Use,Latitude,Longitude,Measure,StationID1,Station ID,Station Name,Value,Year
Urban,34.28173,-119.30669,Mortality,402VRB0xx,402VRB0xx,Ventura River Bio 0,,1/1/09
Urban,34.42782,-118.54022,Mortality,403STCBQT,403STCBQT,Bouquet Canyon Creek,,1/1/09
Urban,34.23557,-119.21674,Mortality,403STCEST,403STCEST,Santa Clara River Estuary,,1/1/09
Open,34.39414,-118.94096,Mortality,403STCSSP,403STCSSP,Sespe Creek,,1/1/09
Urban,33.986,-118.417,Mortality,404BLNAxx,404BLNAxx,Ballona Creek Downstream of Sawtelle (Centinella),59.7,1/1/09
Urban,33.78708,-118.09367,Mortality,405SGRA2x,405SGRA2x,San Gabriel River RA-2,,1/1/09
Urban,34.17978,-119.04053,Mortality,408CGCS06,408CGCS06,"Calleguas Creek Below Camrosa WWTP, Site 6",3.9,1/1/09
Urban,33.8049,-118.205,Mortality,412LARWxx,412LARWxx,Los Angeles River at Willow,,1/1/09
Urban,39.72716,-121.86308,Mortality,504BCHROS,504BCHROS,Big Chico Creek @ Rose Ave,,1/1/09
Agriculture,39.7511,-121.99798,Mortality,504SACHMN,504SACHMN,Sac R @ Hamilton City,,1/1/09
Open,40.41762,-122.19334,Mortality,508SACBLF,508SACBLF,Sacramento River @ Balls Ferry,,1/1/09
Agriculture,38.383118,-121.520574,Mortality,510LSAC08,510LSAC08,Clarksburg Marina,,1/1/09
Agriculture,38.72066,-121.7643,Mortality,511CAC113,511CAC113,Cache Creek @ Hwy 113,,1/1/09
Agriculture,38.78456,-121.65439,Mortality,515SACKNK,515SACKNK,Sacramento Slough @ Karnak,,1/1/09
Urban,39.13421,-121.5929,Mortality,515YBAMVL,515YBAMVL,Yuba R @ Maryville,5.2,1/1/09
Urban,38.60094,-121.5055,Mortality,519AMNDVY,519AMNDVY,American R @ Discovery Park,3.9,1/1/09
Agriculture,38.96175,-121.54677,Mortality,519BERBRY,519BERBRY,Bear R @ Berry Rd.,,1/1/09
Agriculture,38.89746,-121.5905,Mortality,519FTRNCS,519FTRNCS,Feather R @ Nicolaus,,1/1/09
Agriculture,39.18786,-121.90919,Mortality,520BUTPAS,520BUTPAS,Butte Slough upsteam of Pass Road Bridge,,1/1/09
