BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
18551 DEARBORN ST,399065909388,,NOT COMPLIED,,,,,,,,,,,,,,91324,2020,,,,,,,,040,"20,000 to 49,999 sqft"
4643 LOS FELIZ BLVD,473614863084,,NOT COMPLIED,,,,,,,,,,,,,,90027,2020,,,,,,,,021,"20,000 to 49,999 sqft"
19040 W VANOWEN ST,396142893155,301.4,COMPLIED,51.8,51.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,55206,Not Available,Not Available,1,100,Not Available,91335,2023,Police Station,83.2,189.6,734.5,83.1,188.1,1990,906,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
401 S BARRINGTON AVE,419631844761,,NOT COMPLIED,,,,,,,,,,,,,,90049,2017,,,,,,,,016,"50,000 to 99,999 sqft"
7111 WOODLEY AVE,415268895308,24.7,COMPLIED,-36.3,-36.3,95,No,Not Available,Not Available,"Vert Energy Group, Inc.",20825,Not Available,Not Available,1,100,Not Available,91406,2021,Multifamily Housing,19.6,54.8,1298.6,19.6,54.8,1964,034,"20,000 to 49,999 sqft"
4940 VAN NUYS BLVD,426034881091,96.8,COMPLIED,-4.7,-4.7,53,No,Not Available,Not Available,"Vert Energy Group, Inc.",33020,Not Available,Not Available,1,100,Not Available,91403,2021,Office,48.4,135.6,508.7,48.4,135.6,1992,255,"20,000 to 49,999 sqft"
1717 E 103RD ST,488149802119,576.7,COMPLIED,27.7,27.7,15.0,No,Not Available,Not Available,American Utility Management,113598.0,Not Available,Not Available,32.0,95.0,Not Available,90002,2016,Multifamily Housing,84.8,124.6,12277.0,84.8,124.6,1975,047,"100,000+ sqft"
631 KELTON AVE,424407846557,43.4,COMPLIED,-41.1,-41.1,97,Yes,Not Available,Not Available,"Vert Energy Group, Inc.",30890,Not Available,Not Available,1,100,Not Available,90024,2021,Multifamily Housing,24.7,48,1116.1,24.4,47.8,1962,029,"20,000 to 49,999 sqft"
6415 GARVANZA AVE,507170864476,,NOT COMPLIED,,,,,,,,,,,,,,90042,2018,,,,,,,,036,"20,000 to 49,999 sqft"
4455 E YORK BLVD,495514867625,18.1,COMPLIED,-70.4,-70.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,17640,Not Available,Not Available,1,100,Not Available,90041,2023,Fire Station,15.3,36.9,2019.7,15.3,37.6,2010,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
4001 NICOLET AVE,455078827762,,NOT COMPLIED,,,,,,,,,,,,,,90008,2018,,,,,,,,013,"20,000 to 49,999 sqft"
14500 W SHERMAN CIR,11526,590.2,COMPLIED,-56.5,-56.5,100,No,03/21/2022,"2022, 2021","Conservice, LLC",496802,Not Available,Not Available,2,95,Not Available,91405,2019,Multifamily Housing,20.7,43,15.3,20.7,43.1,2016,034,"100,000+ sqft"
10900 W WILSHIRE BLVD,427166843895,740.0,COMPLIED,-37.7,-37.7,85.0,No,05/04/2018,"2018, 2017, 2016",CodeGreen Solutions Inc.,239745.0,Not Available,Not Available,1.0,80.0,Not Available,90024,2018,Office,45.2,116.6,2102.3,45.5,114.8,1981,031,"100,000+ sqft"
8811 BURNET AVE,421557906591,77.9,COMPLIED,-22.4,-22.4,84,No,Not Available,Not Available,FOOTHILL ENTERPRISES,34974,Not Available,Not Available,8,100,Not Available,91343,2021,Multifamily Housing,39.7,70.3,2338.4,40.3,70.9,1954,057,"20,000 to 49,999 sqft"
8747 SEPULVEDA BLVD,420150906288,37.1,COMPLIED,-20.9,-20.9,81,No,Not Available,Not Available,"Vert Energy Group, Inc.",30262,Not Available,Not Available,1,100,Not Available,91343,2020,Multifamily Housing,20.2,56.7,1149.8,20.2,56.7,2010,009,"20,000 to 49,999 sqft"
16716 DEVONSHIRE ST,411629916309,,NOT COMPLIED,,,,,,,,,,,,,,91344,2020,,,,,,,,038,"20,000 to 49,999 sqft"
323 S DOHENY DR,443546849201,80.6,COMPLIED,10.3,10.3,35,No,Not Available,Not Available,"Vert Energy Group, Inc.",32468,Not Available,Not Available,1,100,Not Available,90048,2021,Multifamily Housing,44.2,78.2,815.4,43.1,77,1988,053,"20,000 to 49,999 sqft"
9301 N TAMPA AVE,394093909543,489.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GGP Inc.,444120.0,Not Available,Not Available,1.0,0.0,319.6,91324,2016,Parking,29.9,94.0,319.6,29.4,92.2,1971,021,"100,000+ sqft"
4150 S WESTERN AVE,468114825470,,NOT COMPLIED,,,,,,,,,,,,,,90062,2020,,,,,,,,035,"20,000 to 49,999 sqft"
1001 GAYLEY AVE,425948845129,,NOT COMPLIED,,,,,,,,,,,,,,90024,2018,,,,,,,,012,"20,000 to 49,999 sqft"
6904 TUJUNGA AVE,448015894149,285.2,COMPLIED,-60.3,-60.3,94,No,Not Available,Not Available,Disney FS&S,196547,230,1.17,1,5,Not Available,91605,2019,Office,24.3,63.2,230,24.2,63.3,1968,035,"100,000+ sqft"
5249 W CENTURY BLVD,448845802810,,NOT COMPLIED,,,,,,,,,,,,,,90045,2016,,,,,,,,044,"100,000+ sqft"
2107 N BEACHWOOD DR,464181862147,,NOT COMPLIED,,,,,,,,,,,,,,90068,2018,,,,,,,,013,"20,000 to 49,999 sqft"
2513 E 24TH ST,492650828635,348.5,COMPLIED,222.7,222.7,Not Available,No,Not Available,Not Available,ece_cola_gsd,31436,Not Available,Not Available,1,100,Not Available,90058,2021,Other - Public Services,202.7,288.1,67.2,202.7,288.1,1990,900,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
7805 NOBLE AVE,421969899912,6,COMPLIED,-81.7,-81.7,Not Available,No,Not Available,Not Available,"Winer, Frank and Wolfson, Samuel A",26250,Not Available,Not Available,1,100,Not Available,91405,2020,Non-Refrigerated Warehouse,3.5,9.7,87.5,3.5,9.7,1962,022,"20,000 to 49,999 sqft"
11949 BORDEN AVE,434631926926,,NOT COMPLIED,,,,,,,,,,,,,,91340,2017,,,,,,,,057,"50,000 to 99,999 sqft"
8956 N VANALDEN AVE,395882907735,,NOT COMPLIED,,,,,,,,,,,,,,91324,2020,,,,,,,,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
7007 SEPULVEDA BLVD,420464894721,,NOT COMPLIED,,,,,,,,,,,,,,91405,2022,,,,,,,,025,"20,000 to 49,999 sqft"
3701 S FLOWER ST,476161829051,84.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,371192.0,Not Available,Not Available,1.0,100.0,Not Available,90007,2016,Parking,3.0,9.5,370.9,Not Available,Not Available,2004,020,"100,000+ sqft"
11950 KLING ST,442525879096,190.4,COMPLIED,-9.8,-9.8,65.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",75953.0,Not Available,Not Available,1.0,100.0,Not Available,91607,2018,Multifamily Housing,42.0,72.1,2321.2,Not Available,Not Available,1964,010,"50,000 to 99,999 sqft"
2222 E OLYMPIC BLVD,491072831771,1945.07,COMPLIED,1055.3,1055.3,1,No,Not Available,Not Available,"BNY, INC",47700,Not Available,Not Available,1,100,Not Available,90021,2024,Office,614.5,1720.5,5347.1,614.5,1720.5,1965,007,"20,000 to 49,999 sqft"
18300 W LEMARSH ST,400772915646,,NOT COMPLIED,,,,,,,,,,,,,,91325,2020,,,,,,,,902,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
1020 CROCKER ST,485772834824,,NOT COMPLIED,,,,,,,,,,,,,,90021,2020,,,,,,,,058,"20,000 to 49,999 sqft"
3625 W 6TH ST,470432845732,,NOT COMPLIED,,,,,,,,,,,,,,90020,2020,,,,,,,,021,"20,000 to 49,999 sqft"
12300 SHERMAN WAY,440300895123,501.5,COMPLIED,-11.5,-11.5,68.0,No,Not Available,Not Available,MG Properties,141100.0,Not Available,Not Available,5.0,100.0,Not Available,91605,2016,Multifamily Housing,54.8,97.4,7900.2,57.9,100.6,1975,019,"100,000+ sqft"
10151 NATIONAL BLVD,438242833326,83.7,COMPLIED,-56.4,-56.4,Not Available,No,Not Available,Not Available,Price Self Storage,164000,Not Available,Not Available,1,90,Not Available,90034,2020,Self-Storage Facility,7.4,20.9,526.6,Not Available,Not Available,2006,002,"100,000+ sqft"
1451 W KNOX ST,470274769552,,NOT COMPLIED,,,,,,,,,,,,,,90501,2016,,,,,,,,022,"100,000+ sqft"
208 S BONNIE BRAE ST,480419845758,,NOT COMPLIED,,,,,,,,,,,,,,90057,2017,,,,,,,,023,"50,000 to 99,999 sqft"
18200 KILLION ST,401629884821,,NOT COMPLIED,,,,,,,,,,,,,,91356,2023,,,,,,,,030,"20,000 to 49,999 sqft"
5816 WARING AVE,463246853534,,NOT COMPLIED,,,,,,,,,,,,,,90038,2020,,,,,,,,026,"20,000 to 49,999 sqft"
1109 S SANTA FE AVE,491736833459,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,026,"20,000 to 49,999 sqft"
19800 NORDHOFF ST,390880908459,,NOT COMPLIED,,,,,,,,,,,,,,91311,2020,,,,,,,,066,"20,000 to 49,999 sqft"
13190 N BROMONT AVE,112217100473,,NOT COMPLIED,,,,,,,,,,,,,,91342,2017,,,,,,,,031,"50,000 to 99,999 sqft"
18300 ROSCOE BLVD,400599902834,8230.5,COMPLIED,15.9,15.9,22.0,No,Not Available,Not Available,Dignity Health - Northridge Hospital Medical Center,500000.0,30682.0,61.36,1.0,100.0,Not Available,91325,2017,Hospital (General Medical & Surgical),252.0,547.4,30682.0,256.2,546.0,1968,016,"100,000+ sqft"
2014 S BENTLEY AVE,428683838396,31.4,COMPLIED,-36.3,-36.3,95,No,Not Available,Not Available,"Vert Energy Group, Inc.",24264,Not Available,Not Available,1,100,Not Available,90025,2019,Multifamily Housing,22.7,44.8,597.7,22.7,44.8,1972,031,"20,000 to 49,999 sqft"
1807 E 48TH PL,488549822429,34.6,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Active usa inc,55304,2.1,0.04,1,100,Not Available,90058,2018,Manufacturing/Industrial Plant,9.4,26.4,2.1,9.4,26.5,2006,010,"50,000 to 99,999 sqft"
10511 LINDLEY AVE,402252917842,178.6,COMPLIED,-24.6,-24.6,86,No,Not Available,Not Available,"Hunt Enterprises, Inc.",45275,Not Available,Not Available,1,100,Not Available,91326,2021,Multifamily Housing,66.8,114.9,5274.5,68.7,116.8,1975,011,"50,000 to 99,999 sqft"
6033 DE SOTO AVE,382882888472,,NOT COMPLIED,,,,,,,,,,,,,,91367,2018,,,,,,,,032,"20,000 to 49,999 sqft"
571 S CORONADO ST,476730845221,,NOT COMPLIED,,,,,,,,,,,,,,90057,2018,,,,,,,,001,"50,000 to 99,999 sqft"
1924 COMPTON AVE,487842829793,,NOT COMPLIED,,,,,,,,,,,,,,90011,2018,,,,,,,,017,"20,000 to 49,999 sqft"
323 S CATALINA ST,472130847315,245,COMPLIED,-27.2,-27.2,90,No,Not Available,Not Available,"Conservice, LLC",129344,Not Available,Not Available,1,95,Not Available,90020,2021,Multifamily Housing,33.1,66.5,7886.7,32.7,66.1,1987,054,"100,000+ sqft"
6205 WOODMAN AVE,431122889516,179.1,COMPLIED,-24.5,-24.5,91.0,No,Not Available,Not Available,6205 WOODMAN PLAZA LLC,59612.0,Not Available,Not Available,1.0,95.0,Not Available,91401,2017,Multifamily Housing,47.2,95.5,4610.2,48.9,97.3,1986,095,"50,000 to 99,999 sqft"
9933 WOODMAN AVE,425258914039,15.2,COMPLIED,-93.1,-93.1,Not Available,No,Not Available,Not Available,"Cirrus Asset Management, Inc.",71711.0,Not Available,Not Available,3.0,95.0,Not Available,91345,2017,Multifamily Housing,2.8,8.8,5289.9,2.8,8.8,1986,009,"50,000 to 99,999 sqft"
1221 W 7TH ST,480919841422,89.1,COMPLIED,-71.6,-71.6,100.0,No,Not Available,Not Available,"Vert Energy Group, Inc.",109559.0,6972.8,63.64,2.0,100.0,Not Available,90017,2016,Multifamily Housing,10.8,33.5,6972.8,10.8,33.4,2003,023,"100,000+ sqft"
16430 VENTURA BLVD,413044879858,,NOT COMPLIED,,,,,,,,,,,,,,91436,2020,,,,,,,,004,"20,000 to 49,999 sqft"
7350 COLDWATER CANYON AVE,436687896967,,NOT COMPLIED,,,,,,,,,,,,,,91605,2018,,,,,,,,025,"20,000 to 49,999 sqft"
1052 S MARIPOSA AVE,471237841132,,NOT COMPLIED,,,,,,,,,,,,,,90006,2020,,,,,,,,025,"20,000 to 49,999 sqft"
822 N CROFT AVE,448439853862,,NOT COMPLIED,,,,,,,,,,,,,,90069,2020,,,,,,,,083,"20,000 to 49,999 sqft"
11051 VICTORY BLVD,449399891254,454.2,NOT COMPLIED,-26,-26,78,No,Not Available,Not Available,Target,134230,2145,15.98,1,100,Not Available,91606,2021,Retail Store,56.4,150.8,2145,56.9,150.3,1987,020,"100,000+ sqft"
18030 CHATSWORTH ST,402899918606,,NOT COMPLIED,,,,,,,,,,,,,,91344,2018,,,,,,,,023,"20,000 to 49,999 sqft"
7070 FRANKLIN AVE,457474860362,,NOT COMPLIED,,,,,,,,,,,,,,90028,2020,,,,,,,,011,"20,000 to 49,999 sqft"
3633 CLARINGTON AVE,439513831959,,NOT COMPLIED,,,,,,,,,,,,,,90034,2020,,,,,,,,033,"20,000 to 49,999 sqft"
6635 FALLBROOK AVE,372175892261,359.7,NOT COMPLIED,-30,-30,82,No,12/03/2010,2010,Target,105968,743,7.01,1,100,Not Available,91307,2021,Retail Store,57.4,142.1,743,58.3,141.9,1985,005,"100,000+ sqft"
4411 W 3RD ST,467514847712,98.1,COMPLIED,11,11,34,No,Not Available,Not Available,Unknown,33183,Not Available,Not Available,1,100,Not Available,90020,2020,Multifamily Housing,51.1,85.8,2906.9,52.1,86.9,1964,025,"20,000 to 49,999 sqft"
6850 VAN NUYS BLVD,426219893793,39.5,COMPLIED,-64.7,-64.7,96,No,Not Available,Not Available,cyrus omead,30720,336.9,10.97,1,90,Not Available,91405,2021,Office,18.8,52.6,336.9,17.9,50.3,1956,022,"20,000 to 49,999 sqft"
1016 S FRESNO ST,499012832430,,NOT COMPLIED,,,,,,,,,,,,,,90023,2022,,,,,,,,900,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
3861 MENTONE AVE,439207829361,153.5,COMPLIED,-27.8,-27.8,91,Yes,12/12/2021,2021,Rondec International,58944,Not Available,Not Available,1,95,Not Available,90232,2023,Multifamily Housing,44.6,69.9,2004.8,43.3,68.6,1971,033,"50,000 to 99,999 sqft"
3051 E WASHINGTON BLVD,497160828501,,NOT COMPLIED,,,,,,,,,,,,,,90023,2020,,,,,,,,009,"50,000 to 99,999 sqft"
4927 E HUNTINGTON DR NORTH 100-200,508239854278,20.5,COMPLIED,-84.4,-84.4,100,No,Not Available,Not Available,ece_cola_gsd,28812,24.4,0.85,1,100,Not Available,90032,2023,Office,11.6,21.5,51.6,11.6,21.5,2010,901,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
6524 SEPULVEDA BLVD,420865891572,,NOT COMPLIED,,,,,,,,,,,,,,91411,2018,,,,,,,,006,"20,000 to 49,999 sqft"
22935 VENTURA BLVD,372245883187,57.5,COMPLIED,15.5,15.5,38,No,Not Available,Not Available,Partnership,22819,Not Available,Not Available,1,80,Not Available,91364,2021,Office,35.5,99.5,389.7,35.5,99.5,1985,020,"20,000 to 49,999 sqft"
10939 MORRISON ST,449882881179,,NOT COMPLIED,,,,,,,,,,,,,,91601,2018,,,,,,,,056,"20,000 to 49,999 sqft"
5846 CARLTON WAY,465547859026,,NOT COMPLIED,,,,,,,,,,,,,,90028,2024,,,,,,,,016,"20,000 to 49,999 sqft"
14320 ADDISON ST,427042881178,109.3,COMPLIED,-18.4,-18.4,79,No,Not Available,Not Available,"Conservice, LLC",62328,Not Available,Not Available,1,100,Not Available,91423,2021,Multifamily Housing,30.3,65.9,1.8,30.3,65.9,1969,076,"50,000 to 99,999 sqft"
20221 PRAIRIE ST,388301910231,11,NOT COMPLIED,-89.9,-89.9,Not Available,No,Not Available,Not Available,Extra Space Storage,104448,224,2.14,1,100,Not Available,91311,2021,Self-Storage Facility,1.7,4.9,224,1.7,4.9,2009,030,"100,000+ sqft"
3701 S FLOWER ST,476161829051,81.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,University of Southern California,371192.0,Not Available,Not Available,1.0,100.0,Not Available,90007,2017,Parking,2.9,9.1,379.8,2.9,9.1,2004,020,"100,000+ sqft"
4730 NATICK AVE,424341879777,92,COMPLIED,-30.9,-30.9,93,No,Not Available,Not Available,Palm Plaza Investors,45512,Not Available,Not Available,1,100,Not Available,91403,2020,Multifamily Housing,33.3,63.5,1365.9,33.9,64.1,1969,022,"20,000 to 49,999 sqft"
5771 W 96TH ST,445477804451,,NOT COMPLIED,,,,,,,,,,,,,,90045,2020,,,,,,,,030,"100,000+ sqft"
10833 WILSHIRE BLVD,427978844472,501.7,COMPLIED,-48.9,-48.9,Not Available,No,Not Available,Not Available,The Leacy at Westwood,220767.0,8124.4,36.8,1.0,100.0,935.4,90024,2016,Multifamily Housing,33.7,65.4,9059.9,36.2,67.5,2001,023,"100,000+ sqft"
5901 LINDENHURST AVE,453429846749,163.5,COMPLIED,-18.9,-18.9,78,No,Not Available,Not Available,"RealPage Utility Management, Inc.",64961,Not Available,Not Available,1,95,Not Available,90036,2020,Multifamily Housing,44.6,66.7,4267.6,44.6,66.7,1951,009,"50,000 to 99,999 sqft"
201 LINCOLN BLVD,419580823238,692.3,COMPLIED,85.2,85.2,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",75495,Not Available,Not Available,1,100,Not Available,90291,2019,Strip Mall,151.6,423.7,6428,151.2,422.7,1960,061,"50,000 to 99,999 sqft"
14630 W PLUMMER ST,425164910894,44,COMPLIED,-15.9,-15.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,14500,0,0,1,80,Not Available,91402,2023,Fire Station,46.3,105,148,45.7,103.3,2010,900,"20,000 to 49,999 sqft (CITY OWNED BUILDINGS)"
1707 E 20TH ST,488228829378,4.4,COMPLIED,-80.7,-80.7,97,No,Not Available,Not Available,Charming Toys Company,28800,Not Available,Not Available,1,100,Not Available,90058,2023,Non-Refrigerated Warehouse,2.2,6.1,38.2,2.2,6.1,1968,008,"20,000 to 49,999 sqft"
4534 LOS FELIZ BLVD,474284863014,44.4,COMPLIED,-19.1,-19.1,78,No,Not Available,Not Available,"Vert Energy Group, Inc.",25646,Not Available,Not Available,1,100,Not Available,90027,2023,Multifamily Housing,28.2,60.2,623.9,27.9,59.9,1963,005,"20,000 to 49,999 sqft"
4383 CAHUENGA BLVD,452219877213,,NOT COMPLIED,,,,,,,,,,,,,,91602,2018,,,,,,,,051,"20,000 to 49,999 sqft"
7112 WOODMAN AVE,431380895348,2.8,COMPLIED,-94.6,-94.6,Not Available,No,Not Available,Not Available,The Eberly Company,20738,Not Available,Not Available,1,100,Not Available,91405,2021,Multifamily Housing,2.3,6.3,2336.9,2.3,6.3,1986,013,"20,000 to 49,999 sqft"
5814 RESEDA BLVD,399655887107,228.2,COMPLIED,-1.3,-1.3,52,No,Not Available,Not Available,Yardi Energy,76385,Not Available,Not Available,1,95,Not Available,91356,2020,Multifamily Housing,54.1,84,3503.9,59.2,89.4,1970,001,"50,000 to 99,999 sqft"
10020 ZELZAH AVE,403613914765,,NOT COMPLIED,,,,,,,,,,,,,,91325,2018,,,,,,,,010,"50,000 to 99,999 sqft"
14902 ROSCOE BLVD,423337903118,,NOT COMPLIED,,,,,,,,,,,,,,91402,2024,,,,,,,,062,"20,000 to 49,999 sqft"
338 N VERMONT AVE,473395850734,,NOT COMPLIED,,,,,,,,,,,,,,90004,2023,,,,,,,,015,"20,000 to 49,999 sqft"
9820 EXPOSITION BLVD,439990833094,39.5,COMPLIED,-20.6,-20.6,80,No,Not Available,Not Available,"Vert Energy Group, Inc.",23841,Not Available,Not Available,1,100,Not Available,90034,2021,Multifamily Housing,29.1,56.3,372.5,28.9,56,1963,043,"20,000 to 49,999 sqft"
9330 N WINNETKA AVE,389300910277,49.3,NOT COMPLIED,-51,-51,95,No,Not Available,Not Available,Best Buy,29728,217,7.3,1,100,Not Available,91311,2021,Retail Store,27.4,76.7,217,27.4,76.7,2008,027,"20,000 to 49,999 sqft"
10787 MISSOURI AVE,430310840752,45.5,COMPLIED,-61,-61,Not Available,No,Not Available,Not Available,10787 Missouri Ave,28392,Not Available,Not Available,1,95,Not Available,90025,2020,Multifamily Housing,27.3,46.1,776.5,Not Available,Not Available,1980,079,"20,000 to 49,999 sqft"
2630 E PEPPER AVE,493477855039,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",7900.0,Not Available,Not Available,1.0,100.0,Not Available,90065,2017,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1983,901,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
1433 GRIFFITH AVE,485642833223,,NOT COMPLIED,,,,,,,,,,,,,,90021,2018,,,,,,,,029,"20,000 to 49,999 sqft"
1438 E 18TH ST,487038830766,30.7,COMPLIED,39.7,39.7,Not Available,No,Not Available,Not Available,1320 E Olympic Blvd LLC,20640,23.2,1.12,1,100,Not Available,90021,2021,Self-Storage Facility,24.7,66.9,23.2,Not Available,Not Available,1948,014,"20,000 to 49,999 sqft"
12745 MOORPARK ST,437321877449,,NOT COMPLIED,,,,,,,,,,,,,,91604,2020,,,,,,,,141,"50,000 to 99,999 sqft"
6070 W PICO BLVD,448837841585,,NOT COMPLIED,,,,,,,,,,,,,,90035,2024,,,,,,,,020,"20,000 to 49,999 sqft"
15010 KESWICK ST,422631899114,,NOT COMPLIED,,,,,,,,,,,,,,91405,2020,,,,,,,,046,"20,000 to 49,999 sqft"
14040 ARMINTA ST,428438899636,69.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Vert Energy Group, Inc.",100000,Not Available,Not Available,1,100,Not Available,91402,2022,Manufacturing/Industrial Plant,10.7,26,1384.6,11.3,25.9,2000,009,"100,000+ sqft"
16030 VENTURA BLVD,415714879439,382.5,COMPLIED,-53.1,-53.1,94,No,Not Available,Not Available,The Almar Building,169951,Not Available,Not Available,1,95,Not Available,91436,2021,Office,37.8,97.6,2651.1,38.7,98.6,1983,019,"100,000+ sqft"
231 W VERNON AVE,477540823953,,NOT COMPLIED,,,,,,,,,,,,,,90037,2018,,,,,,,,036,"20,000 to 49,999 sqft"
21301 VENTURA BLVD,381412884028,,NOT COMPLIED,,,,,,,,,,,,,,91364,2020,,,,,,,,019,"50,000 to 99,999 sqft"
959 N SEWARD ST,7548,297.41,COMPLIED,-35.2,-35.2,78,No,09/25/2024,"2024, 2023, 2022, 2021",Lincoln,122746,319.5,2.6,1,80,Not Available,90038,2024,Office,38.6,89.6,319.5,38.5,90.1,2015,041,"100,000+ sqft"
555 W 7TH ST,473766727030,,NOT COMPLIED,,,,,,,,,,,,,,90731,2020,,,,,,,,027,"20,000 to 49,999 sqft"
810 KOHLER ST,487489834971,1029.6,COMPLIED,192.0,192.0,Not Available,No,Not Available,Not Available,Statewide Enterprises Inc.,60900.0,Not Available,Not Available,2.0,85.0,Not Available,90021,2017,Wholesale Club/Supercenter,318.3,334.2,1611.1,Not Available,Not Available,1903,001,"50,000 to 99,999 sqft"
10800 ROSE AVE,435722831780,53.4,COMPLIED,-31.4,-31.4,92,No,08/16/2021,2021,BERGLAS & GARFIELD,36282,Not Available,Not Available,1,95,Not Available,90034,2021,Multifamily Housing,26.4,44.4,884.2,26,44,1967,035,"20,000 to 49,999 sqft"
5510 LINCOLN BLVD,431274813004,714.4,COMPLIED,-44.2,-44.2,89,No,04/19/2022,"2022, 2021, 2018, 2017, 2016","Wedge Office, LLC",263760,Not Available,Not Available,1,70,Not Available,90094,2021,Office,46.2,108.9,4234.1,46.2,108.9,2002,013,"100,000+ sqft"
14530 PLUMMER ST,425836910781,,NOT COMPLIED,,,,,,,,,,,,,,91402,2020,,,,,,,,084,"20,000 to 49,999 sqft"
9205 BURNET AVE,421490909048,142.4,COMPLIED,-1.3,-1.3,52,No,Not Available,Not Available,GW Properties,37258,Not Available,Not Available,1,100,Not Available,91343,2020,Multifamily Housing,67.7,114.8,3410.4,70.3,117.6,1985,039,"20,000 to 49,999 sqft"
171 S BURLINGTON AVE,480412845542,86.7,COMPLIED,-26.9,-26.9,90,No,Not Available,Not Available,Yardi Energy,43956,Not Available,Not Available,1,95,Not Available,90057,2020,Multifamily Housing,34.7,66.9,2925.6,35.3,67.5,1989,015,"20,000 to 49,999 sqft"
514 N PIER A ST,480729736345,,NOT COMPLIED,,,,,,,,,,,,,,90744,2017,,,,,,,,904,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
12325 CHANDLER BLVD,440194884089,9.6,COMPLIED,-85.1,-85.1,100,No,Not Available,Not Available,Premier Apartments LLC,34713,Not Available,Not Available,1,100,Not Available,91607,2018,Multifamily Housing,4.2,11.7,1434.9,4.2,11.7,1970,014,"20,000 to 49,999 sqft"
10300 COMPTON AVE,487319801632,,NOT COMPLIED,,,,,,,,,,,,,,90002,2018,,,,,,,,041,"50,000 to 99,999 sqft"
7000 W 3RD ST,452121848488,0.0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Writers Guild of America West,68384.0,Not Available,Not Available,1.0,100.0,Not Available,90048,2017,Other - Entertainment/Public Assembly,Not Available,Not Available,Not Available,Not Available,Not Available,1986,028,"50,000 to 99,999 sqft"
14401 SATICOY ST,426621898226,24.9,COMPLIED,0.1,0.1,49.0,No,Not Available,Not Available,Los Angeles Department of Water and Power,13860.0,Not Available,Not Available,1.0,100.0,Not Available,91405,2017,Non-Refrigerated Warehouse,25.1,68.7,59.9,25.4,66.6,1993,910,"7,500 to 14,999 sqft (CITY OWNED BUILDING)"
12450 SATICOY ST,438838896780,96.5,COMPLIED,-43.1,-43.1,Not Available,No,Not Available,Not Available,ece_cola_gsd,66188,Not Available,Not Available,1,100,Not Available,91605,2023,Other - Services,21.1,55.1,400.2,21,55.3,1990,900,"50,000 to 99,999 sqft (CITY OWNED BUILDINGS)"
9555 RESEDA BLVD,399207911620,387.9,COMPLIED,-17.9,-17.9,80.0,No,Not Available,Not Available,AUM,142638.0,Not Available,Not Available,1.0,95.0,Not Available,91324,2016,Multifamily Housing,42.0,89.0,7248.6,42.8,89.8,1997,007,"100,000+ sqft"
1347 ALLISON AVE,485366849022,61.6,COMPLIED,17.5,17.5,25,No,Not Available,Not Available,"Conservice, LLC",20949,Not Available,Not Available,1,100,Not Available,90026,2020,Multifamily Housing,51.9,78.9,1744.1,52.9,80,2003,064,"20,000 to 49,999 sqft"
