BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT,AIN,LADBS Building Category
14650 PARTHENIA ST,424910905504,155.6,COMPLIED,-66,-66,Not Available,No,Not Available,Not Available,"MSW Properties, LLC",113316,1423.1,12.56,1,100,Not Available,91402,2020,Enclosed Mall,20.7,58,1423.1,20.7,58,1964,059,"100,000+ sqft"
227 E 2ND ST,488300840660,397.9,COMPLIED,3.1,3.1,Not Available,No,Not Available,Not Available,"PSP Investment Group, LLC",70000,Not Available,Not Available,1,95,Not Available,90012,2020,Other - Mall,83,232.3,71.1,83,232.3,1975,028,"50,000 to 99,999 sqft"
2200 W PICO BLVD,475465839659,,NOT COMPLIED,,,,,,,,,,,,,,90006,2022,,,,,,,,012,"20,000 to 49,999 sqft"
637 N BRONSON AVE,465343852651,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,SKB Properties,27462,Not Available,Not Available,1,95,Not Available,90004,2018,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1926,020,"20,000 to 49,999 sqft"
11854 LA GRANGE AVE,424388835191,230.6,COMPLIED,-58.7,-58.7,94,Yes,Not Available,Not Available,Westgate LaGrange Partners LTD,134193,Not Available,Not Available,1,100,Not Available,90025,2020,Office,26,72.3,1237.3,26,72.3,1985,001,"100,000+ sqft"
15420 COBALT ST,420406934836,,NOT COMPLIED,,,,,,,,,,,,,,91342,2022,,,,,,,,031,"100,000+ sqft"
9247 N VAN NUYS BLVD,112217100389,105.3,COMPLIED,-17.2,-17.2,76,No,Not Available,Not Available,"Solari Enterprises, Inc.",42114,Not Available,Not Available,1,100,Not Available,91402,2019,Multifamily Housing,43.8,86.9,432.4,43.9,87,2013,078,"50,000 to 99,999 sqft"
7100 TUJUNGA AVE,447347895083,24.5,COMPLIED,-78.7,-78.7,97,No,Not Available,Not Available,"ParRam, LLC",112326,Not Available,Not Available,1,100,Not Available,91605,2019,Non-Refrigerated Warehouse,3.6,9.9,283.5,3.6,9.9,1970,008,"100,000+ sqft"
4521 WILLOW BROOK AVE,473820855256,,NOT COMPLIED,,,,,,,,,,,,,,90029,2022,,,,,,,,022,"20,000 to 49,999 sqft"
5307 SEPULVEDA BLVD,420572883501,165.5,COMPLIED,1.8,1.8,47,No,Not Available,Not Available,Stern Property Management,47062,Not Available,Not Available,1,100,Not Available,91411,2022,Multifamily Housing,57.3,113.7,23.5,57.4,110.3,1969,002,"20,000 to 49,999 sqft"
4515 HUNTINGTON DR SOUTH,504500853193,,NOT COMPLIED,,,,,,,,,,,,,,90032,2022,,,,,,,,010,"20,000 to 49,999 sqft"
820 GRAMERCY DR,467179843335,175.7,COMPLIED,18,18,24,No,Not Available,Not Available,Samuel and Ruth Song LP,40830,Not Available,Not Available,1,90,Not Available,90005,2020,Multifamily Housing,76.3,113,2182.8,77.4,114.2,1989,025,"20,000 to 49,999 sqft"
19836 VENTURA BLVD,390751885262,158.5,NOT COMPLIED,-65.6,-65.6,99,No,Not Available,Not Available,Albertsons Companies Inc,45751,4627.6,101.15,1,100,Not Available,91364,2019,Supermarket/Grocery Store,57.2,160.3,4627.6,57,159.6,2011,023,"50,000 to 99,999 sqft"
750 S MARIPOSA AVE,471250843708,30,COMPLIED,-63.5,-63.5,100,Yes,Not Available,Not Available,Unknown,23352,Not Available,Not Available,1,100,Not Available,90005,2020,Multifamily Housing,22.5,35.9,17.2,23,36.5,1925,003,"20,000 to 49,999 sqft"
11001 SEPULVEDA BLVD,420220920919,120.6,NOT COMPLIED,-35,-35,90,No,Not Available,Not Available,Kaiser Foundation Hospitals,43001,655,15.23,1,100,Not Available,91345,2022,Medical Office,41.5,111.4,655,40.4,108.1,2009,031,"20,000 to 49,999 sqft"
3656 NOAKES ST,501706827544,,NOT COMPLIED,,,,,,,,,,,,,,90023,2022,,,,,,,,003,"20,000 to 49,999 sqft"
2710 MEDIA CENTER DR,488616861113,,NOT COMPLIED,,,,,,,,,,,,,,90039,2022,,,,,,,,006,"50,000 to 99,999 sqft"
