iso3,country,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,co2_emission_tons,HDI_Category
BGD,Bangladesh,2022,0.67,73.698,171.1863725,0.63460476,0.694222638,76.012,71.514,11.94633007,12.40666962,11.50172043,7.379059792,6.755380154,8.020810127,6511.122178,3684.291333,9386.85327,0.914,0.583152966,Medium
BRB,Barbados,2022,0.809,77.706,0.281635,0.815370599,0.791955966,79.581,75.677,16.53069367,18.28634039,14.7716475,9.89206168,10.35100499,9.098828828,14810.23783,12594.97579,17213.53176,1.03,4.361308677,Very High
BLR,Belarus,2022,0.801,73.246,9.5349545,0.801134982,0.798781621,78.384,68.09,13.98153019,13.91798019,14.04238033,12.24122445,12.26702163,12.20894866,18425.01061,14502.49303,23021.57386,1.003,6.362198529,Very High
BEL,Belgium,2022,0.942,82.293,11.65593,0.928892167,0.9522897,84.367,80.16,18.94573975,19.9310894,17.99295044,12.52857789,12.50440062,12.55379975,53644.03854,43720.35057,63804.35597,0.975,8.23913942,Very High
BLZ,Belize,2022,0.7,70.962,0.4052725,0.691356814,0.704094307,74.685,67.721,12.42656994,12.80862045,12.05408001,8.847599983,9.042070389,8.652890205,9242.082259,6318.806742,12133.48464,0.982,1.755038984,High
BEN,Benin,2022,0.504,59.954,13.352864,0.461636484,0.544450366,61.676,58.265,10.30257988,9.462470055,11.12106991,3.137261725,2.059994265,4.401454468,3406.072937,2603.750395,4205.30987,0.848,0.639583531,Low
BTN,Bhutan,2022,0.681,72.229,0.782455,0.669679955,0.690410405,74.152,70.57,13.06449041,13.59799871,12.55190209,5.835794662,5.211722545,6.330068068,10624.87388,9342.861603,11766.25908,0.97,1.366198234,Medium
BOL,Bolivia (Plurinational State of),2022,0.698,64.928,12.22411,0.686215519,0.71118959,67.907,62.265,15.02243817,15.13321182,14.90989854,9.827750206,9.216730118,10.49209023,7987.842247,6726.868071,9242.926257,0.965,1.798596826,Medium
BIH,Bosnia and Herzegovina,2022,0.779,75.293,3.2335265,0.758684982,0.79727976,77.498,73.126,13.27705956,13.77554035,12.80607986,10.53631973,9.778189659,11.35262966,16571.41275,12419.85276,20853.11145,0.952,6.095489894,High
BWA,Botswana,2022,0.708,65.913,2.630296,0.706553532,0.70818007,68.399,63.328,11.42568016,11.77283955,11.08065033,10.42,10.36,10.47,14841.57836,13675.9711,16036.5159,0.998,2.370748521,High
BRA,Brazil,2022,0.76,73.425,215.313498,0.758197177,0.758060299,76.596,70.296,15.5788002,16.22303963,14.95001984,8.278307638,8.486056479,8.039534208,14615.89235,11291.52637,18061.22633,1.0,2.319857519,High
BRN,Brunei Darussalam,2022,0.823,74.551,0.4490015,0.81438208,0.828827421,76.791,72.509,13.69861984,14.17733955,13.25224972,9.22,9.23,9.23,59245.63485,44702.92641,72823.32823,0.983,25.37625765,Very High
BGR,Bulgaria,2022,0.799,71.528,6.781953,0.796689706,0.800341486,75.08,68.278,13.86802959,14.12744999,13.62205982,11.41318035,11.50780964,11.30865955,25920.80375,20700.00207,31466.04791,0.995,6.14038782,High
BFA,Burkina Faso,2022,0.438,59.766,22.673762,0.408973007,0.464030731,61.505,57.953,8.091560364,8.18846035,8.001529694,2.318685239,1.634014826,3.090802176,2036.997179,1453.770925,2624.118024,0.881,0.266000829,Low
BDI,Burundi,2022,0.42,61.977,12.8895765,0.404064715,0.436317438,63.868,60.077,9.966378953,10.19314993,9.747024594,3.305215598,2.636837474,4.066341066,712.0260007,635.6426737,789.4561469,0.926,0.063739656,Low
CPV,Cabo Verde,2022,0.661,74.722,0.5931495,0.651791582,0.664166564,79.011,70.29,11.53066323,11.77959971,11.28772218,6.09003905,5.807281856,6.329140157,7601.085433,5731.943011,9491.323885,0.981,0.950563422,Medium
KHM,Cambodia,2022,0.6,69.896,16.7678425,0.576517877,0.622698032,72.622,67.117,11.56094805,11.32613074,11.79576536,5.197100163,4.373630047,6.200459957,4291.113168,3562.784253,5034.254198,0.926,1.213483157,Medium
CMR,Cameroon,2022,0.587,60.958,27.9145365,0.555867233,0.617803051,62.556,59.392,13.38097793,12.67795079,14.08810474,6.537401781,5.633947949,7.557694411,3681.469988,3048.080792,4318.020666,0.9,0.378614686,Medium
CAN,Canada,2022,0.935,82.847,38.454327,0.92881357,0.93963864,84.797,80.868,15.96065044,16.53586006,15.41615009,13.86876597,13.96031896,13.77025173,48444.39319,39765.34331,57229.57642,0.988,14.0787192,Very High
CAF,Central African Republic,2022,0.387,54.477,5.5791435,0.344440512,0.438631626,56.829,52.258,7.285887393,6.094853701,8.441895364,3.9531639,2.656642005,5.414050624,869.11237,1221.633536,1857.024651,0.785,0.045672158,Low
TCD,Chad,2022,0.394,52.997,17.7233145,0.342368178,0.44124294,54.769,51.3,8.185526568,6.846322732,9.503698126,2.282753488,1.2932629,3.46862315,1388.897502,991.4082556,1783.317579,0.776,0.143576096,Low
CHL,Chile,2022,0.86,79.519,19.603733,0.846799773,0.86998757,81.877,77.156,16.76792908,17.08077049,16.46307945,11.11136804,11.02533818,11.21349116,24430.99593,18611.52012,30337.00368,0.973,4.567606811,Very High
CHN,China,2022,0.788,78.587,1425.887337,0.771342655,0.802193998,81.343,75.963,15.21793605,15.65643534,14.83649776,8.106910446,7.543190438,8.670630455,18024.88747,13291.58537,22566.93868,0.962,7.9502786,High
COL,Colombia,2022,0.758,73.659,51.874024,0.756184811,0.758077817,77.143,70.319,14.43749046,14.67448044,14.20670033,8.862859726,9.016329765,8.697070122,15013.92724,12251.92566,17853.98777,0.998,1.858932279,High
COM,Comoros,2022,0.586,63.68,0.8367735,0.558359817,0.61100987,66.061,61.522,13.03771042,13.37298971,12.74388235,6.209056832,5.222353096,7.306295772,3260.555466,2338.273418,4174.191881,0.914,0.50525483,Medium
COG,Congo,2022,0.593,63.053,5.970424,0.563692718,0.619818312,64.617,61.513,12.41647044,12.99831126,11.90996567,8.250552585,7.242174036,9.384527352,2902.808037,2085.221106,3722.266332,0.909,1.243341537,Medium
